run_id,stage,task,model,circuit,graph,n_train,model_seed,shuffle_seed,n_params,best_val_acc,test_acc_a,test_acc_b,test_acc_c,test_acc_d,addition_train_accuracy,addition_test_accuracy,unseen_pair_accuracy,wall_seconds_total,max_steps,steps,alpha,w_scale,signed,standardize,epochs_run,optimizer_steps,batch_size
7_fxu_real_N10000_s0,7,count,M1,core,real,10000,0,0,1249509.0,0.7468,0.7524,0.5932,0.8884,0.6044,,,,3129.7,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_real_N10000_s1,7,count,M1,core,real,10000,1,0,1249509.0,0.7444,0.75,0.5648,0.756,0.5626,,,,2074.7,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_real_N10000_s2,7,count,M1,core,real,10000,2,0,1249509.0,0.754,0.7574,0.5926,0.8602,0.5976,,,,1770.6,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_real_N20000_s0,7,count,M1,core,real,20000,0,0,1249509.0,0.7608,0.7676,0.6056,0.9056,0.6014,,,,1864.0,18780,8,0.2,1.0,False,False,60.0,18780.0,64
7_fxu_real_N20000_s1,7,count,M1,core,real,20000,1,0,1249509.0,0.7552,0.7606,0.5794,0.8424,0.5724,,,,1808.5,18780,8,0.2,1.0,False,False,60.0,18780.0,64
7_fxu_real_N20000_s2,7,count,M1,core,real,20000,2,0,1249509.0,0.7708,0.773,0.621,0.9436,0.6246,,,,1983.3,18780,8,0.2,1.0,False,False,60.0,18780.0,64
7_fxu_real_N5000_s0,7,count,M1,core,real,5000,0,0,1249509.0,0.7068,0.719,0.5478,0.6828,0.5246,,,,931.8,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_real_N5000_s1,7,count,M1,core,real,5000,1,0,1249509.0,0.7136,0.7246,0.5414,0.6442,0.5218,,,,935.5,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_real_N5000_s2,7,count,M1,core,real,5000,2,0,1249509.0,0.71,0.7252,0.5544,0.7048,0.5354,,,,1001.1,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_shuffled_N10000_s0,7,count,M1,core,shuffled,10000,0,0,1249509.0,0.642,0.6402,0.3786,0.4768,0.366,,,,2463.6,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_shuffled_N10000_s1,7,count,M1,core,shuffled,10000,1,1,1249509.0,0.6404,0.6408,0.3846,0.5026,0.3676,,,,3412.6,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_shuffled_N10000_s2,7,count,M1,core,shuffled,10000,2,2,1249509.0,0.6468,0.65,0.3868,0.4486,0.379,,,,1792.9,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_shuffled_N5000_s0,7,count,M1,core,shuffled,5000,0,0,1249509.0,0.584,0.5862,0.3254,0.3894,0.3066,,,,953.5,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_shuffled_N5000_s1,7,count,M1,core,shuffled,5000,1,1,1249509.0,0.5828,0.5866,0.3352,0.4092,0.3082,,,,954.4,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_fxu_shuffled_N5000_s2,7,count,M1,core,shuffled,5000,2,2,1249509.0,0.5904,0.598,0.3498,0.3996,0.3284,,,,1192.4,18780,8,0.2,1.0,False,False,61.0,18780.0,64
7_rep_real_s3,7,count,M1,core,real,20000,3,0,1249509.0,0.7636,0.7622,0.5992,0.8962,0.5854,,,,1793.9,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_real_s4,7,count,M1,core,real,20000,4,0,1249509.0,0.7708,0.7756,0.6146,0.9186,0.6164,,,,1775.5,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_real_s5,7,count,M1,core,real,20000,5,0,1249509.0,0.7664,0.7672,0.615,0.9172,0.6174,,,,1783.9,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_real_s6,7,count,M1,core,real,20000,6,0,1249509.0,0.7888,0.7838,0.6376,0.968,0.6496,,,,1775.7,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_real_s7,7,count,M1,core,real,20000,7,0,1249509.0,0.7812,0.7812,0.6436,0.9698,0.6528,,,,1780.8,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_real_s8,7,count,M1,core,real,20000,8,0,1249509.0,0.7624,0.764,0.6042,0.9,0.5984,,,,1778.0,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_real_s9,7,count,M1,core,real,20000,9,0,1249509.0,0.7708,0.7748,0.6106,0.9056,0.6002,,,,1782.3,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s3,7,count,M1,core,shuffled,20000,3,3,1249509.0,0.6696,0.6706,0.4148,0.4132,0.377,,,,1858.9,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s4,7,count,M1,core,shuffled,20000,4,4,1249509.0,0.666,0.6706,0.4086,0.413,0.3778,,,,1911.5,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s5,7,count,M1,core,shuffled,20000,5,5,1249509.0,0.6596,0.6644,0.4024,0.4292,0.3768,,,,1878.4,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s6,7,count,M1,core,shuffled,20000,6,6,1249509.0,0.6692,0.658,0.4044,0.4396,0.3676,,,,1880.6,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s7,7,count,M1,core,shuffled,20000,7,7,1249509.0,0.6688,0.665,0.4052,0.448,0.3718,,,,1900.6,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s8,7,count,M1,core,shuffled,20000,8,8,1249509.0,0.6696,0.6672,0.4074,0.4164,0.365,,,,1907.8,0,8,0.2,1.0,False,False,60.0,18780.0,64
7_rep_shuffled_s9,7,count,M1,core,shuffled,20000,9,9,1249509.0,0.6584,0.6606,0.392,0.407,0.3544,,,,1891.2,0,8,0.2,1.0,False,False,60.0,18780.0,64
7c_v2_real_s0,7c,count,M1,core,real,20000,0,0,1249509.0,0.6612,0.67,0.4096,0.4324,0.3626,,,,944.9,0,8,0.2,0.5,True,False,60.0,18780.0,64
7c_v2_real_s1,7c,count,M1,core,real,20000,1,0,1249509.0,0.6736,0.6834,0.4298,0.4388,0.3802,,,,1077.6,0,8,0.2,0.5,True,False,60.0,18780.0,64
7c_v2_real_s2,7c,count,M1,core,real,20000,2,0,1249509.0,0.6636,0.6742,0.4252,0.5018,0.3906,,,,1376.4,0,8,0.2,0.5,True,False,60.0,18780.0,64
7c_v2_scalectrl_real_s0,7c,count,M1,core,real,20000,0,0,1249509.0,0.6592,0.6696,0.4104,0.4168,0.3728,,,,1000.6,0,8,0.2,0.5,False,False,60.0,18780.0,64
7c_v2_scalectrl_real_s1,7c,count,M1,core,real,20000,1,0,1249509.0,0.6596,0.6598,0.395,0.4182,0.3492,,,,1195.4,0,8,0.2,0.5,False,False,60.0,18780.0,64
7c_v2_scalectrl_real_s2,7c,count,M1,core,real,20000,2,0,1249509.0,0.6536,0.6666,0.3826,0.4078,0.348,,,,1375.2,0,8,0.2,0.5,False,False,60.0,18780.0,64
7c_v2_shuffled_s0,7c,count,M1,core,shuffled,20000,0,0,1249509.0,0.6292,0.6362,0.3532,0.3744,0.333,,,,1061.9,0,8,0.2,0.5,True,False,60.0,18780.0,64
7c_v2_shuffled_s1,7c,count,M1,core,shuffled,20000,1,1,1249509.0,0.6188,0.6226,0.3722,0.3938,0.3342,,,,1258.3,0,8,0.2,0.5,True,False,60.0,18780.0,64
7c_v2_shuffled_s2,7c,count,M1,core,shuffled,20000,2,2,1249509.0,0.6252,0.6382,0.3412,0.3854,0.324,,,,1402.1,0,8,0.2,0.5,True,False,60.0,18780.0,64
7d_spec_1.4106_shuffled_s0,7d,count,M1,core,shuffled,20000,0,0,1249509.0,0.7032,0.705,0.4652,0.4866,0.4198,,,,1797.3,0,8,0.2,1.4106,False,False,60.0,18780.0,64
7d_spec_1.4106_shuffled_s1,7d,count,M1,core,shuffled,20000,1,1,1249509.0,0.702,0.6998,0.462,0.5224,0.4212,,,,1832.7,0,8,0.2,1.4106,False,False,60.0,18780.0,64
7d_spec_1.4106_shuffled_s2,7d,count,M1,core,shuffled,20000,2,2,1249509.0,0.7016,0.7,0.4716,0.477,0.4378,,,,1834.2,0,8,0.2,1.4106,False,False,60.0,18780.0,64
8_curr_scratch_real_h23-32_s0,,add_curriculum,M1,core,real,20000,0,0,,,,,,,,,,,0,8,0.1,1.0,False,False,31.0,,64
8_curr_scratch_real_h23-32_s1,,add_curriculum,M1,core,real,20000,1,0,,,,,,,,,,,0,8,0.1,1.0,False,False,70.0,,64
8_curr_scratch_real_h23-32_s2,,add_curriculum,M1,core,real,20000,2,0,,,,,,,,,,,0,8,0.1,1.0,False,False,26.0,,64
8_curr_scratch_shuffled_h23-32_s0,,add_curriculum,M1,core,shuffled,20000,0,0,,,,,,,,,,,0,8,0.1,1.0,False,False,70.0,,64
8_curr_scratch_shuffled_h23-32_s1,,add_curriculum,M1,core,shuffled,20000,1,1,,,,,,,,,,,0,8,0.1,1.0,False,False,56.0,,64
8_curr_scratch_shuffled_h23-32_s2,,add_curriculum,M1,core,shuffled,20000,2,2,,,,,,,,,,,0,8,0.1,1.0,False,False,60.0,,64
8_lesion_s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46,,count,M1,core,real,20000,0,0,,,,,,,,,,,0,8,0.2,1.0,False,False,,,64
8_lesion_s2_count_M1_core_real_N20000_m1_sh0_cc44762d6a,,count,M1,core,real,20000,1,0,,,,,,,,,,,0,8,0.2,1.0,False,False,,,64
8_lesion_s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab,,count,M1,core,real,20000,2,0,,,,,,,,,,,0,8,0.2,1.0,False,False,,,64
full_real_N5000,1,count,M1,full,real,5000,0,0,12537926.0,0.4812,0.4874,0.1832,0.1878,0.1704,,,,4551.3,0,8,0.2,0.4,False,False,40.0,,16
full_shuffled_N5000,1,count,M1,full,shuffled,5000,0,0,12537926.0,0.4852,0.4906,0.1792,0.1718,0.1786,,,,6809.8,0,8,0.2,0.4,False,False,40.0,,16
s2_count_M0_core_real_N20000_m0_sh0_f54039ffe3,2,count,M0,core,real,20000,0,0,79485.0,0.5232,0.5244,0.1934,0.1988,0.19,,,,288.8,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M0_core_real_N20000_m1_sh0_200d8625cb,2,count,M0,core,real,20000,1,0,79485.0,0.4976,0.4864,0.208,0.1086,0.179,,,,148.6,0,8,0.2,1.0,False,False,29.0,,64
s2_count_M0_core_real_N20000_m2_sh0_7d6dff8a20,2,count,M0,core,real,20000,2,0,79485.0,0.498,0.5,0.2044,0.2064,0.1918,,,,190.9,0,8,0.2,1.0,False,False,39.0,,64
s2_count_M1_core_real_N1000_m0_sh0_cdd14e0abe,2,count,M1,core,real,1000,0,0,1249509.0,0.4828,0.486,0.1804,0.1806,0.1806,,,,121.7,0,8,0.2,1.0,False,False,55.0,,64
s2_count_M1_core_real_N1000_m1_sh0_c057bc923f,2,count,M1,core,real,1000,1,0,1249509.0,0.4864,0.4872,0.1802,0.186,0.1876,,,,115.7,0,8,0.2,1.0,False,False,59.0,,64
s2_count_M1_core_real_N1000_m2_sh0_56df2ffb38,2,count,M1,core,real,1000,2,0,1249509.0,0.4836,0.484,0.1788,0.149,0.1938,,,,97.5,0,8,0.2,1.0,False,False,48.0,,64
s2_count_M1_core_real_N100_m0_sh0_a8d0f9bf63,2,count,M1,core,real,100,0,0,1249509.0,0.436,0.4432,0.1596,0.0412,0.178,,,,45.0,0,8,0.2,1.0,False,False,54.0,,64
s2_count_M1_core_real_N100_m1_sh0_0355550699,2,count,M1,core,real,100,1,0,1249509.0,0.2,0.2,0.2,0.2,0.2,,,,18.1,0,8,0.2,1.0,False,False,16.0,,64
s2_count_M1_core_real_N100_m2_sh0_12d74600e8,2,count,M1,core,real,100,2,0,1249509.0,0.4324,0.4416,0.1586,0.107,0.1706,,,,35.2,0,8,0.2,1.0,False,False,50.0,,64
s2_count_M1_core_real_N20000_m0_sh0_7ab4bc3c46,2,count,M1,core,real,20000,0,0,1249509.0,0.762,0.7684,0.6078,0.9032,0.6054,,,,1724.3,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_real_N20000_m1_sh0_cc44762d6a,2,count,M1,core,real,20000,1,0,1249509.0,0.7588,0.7616,0.5776,0.8404,0.5664,,,,1712.0,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab,2,count,M1,core,real,20000,2,0,1249509.0,0.7732,0.7768,0.621,0.9496,0.6308,,,,1713.5,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_real_N5000_m0_sh0_febe51d9f2,2,count,M1,core,real,5000,0,0,1249509.0,0.5164,0.5102,0.1972,0.1572,0.1574,,,,324.7,0,8,0.2,1.0,False,False,41.0,,64
s2_count_M1_core_real_N5000_m1_sh0_e80a0be927,2,count,M1,core,real,5000,1,0,1249509.0,0.5248,0.5118,0.2042,0.147,0.1586,,,,471.9,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_real_N5000_m2_sh0_9ac98a3999,2,count,M1,core,real,5000,2,0,1249509.0,0.5196,0.5138,0.1978,0.1614,0.1554,,,,426.2,0,8,0.2,1.0,False,False,56.0,,64
s2_count_M1_core_real_N500_m0_sh0_7b01866af7,2,count,M1,core,real,500,0,0,1249509.0,0.4732,0.4682,0.1622,0.2004,0.1766,,,,82.2,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_real_N500_m1_sh0_5eb6d23a12,2,count,M1,core,real,500,1,0,1249509.0,0.466,0.4564,0.1694,0.2004,0.1834,,,,50.4,0,8,0.2,1.0,False,False,37.0,,64
s2_count_M1_core_real_N500_m2_sh0_c49abd81ab,2,count,M1,core,real,500,2,0,1249509.0,0.4692,0.4684,0.163,0.2004,0.181,,,,79.0,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_shuffled_N1000_m0_sh0_1753315835,2,count,M1,core,shuffled,1000,0,0,1249509.0,0.486,0.4828,0.1744,0.1738,0.1688,,,,81.1,0,8,0.2,1.0,False,False,37.0,,64
s2_count_M1_core_shuffled_N1000_m1_sh1_84e10f686e,2,count,M1,core,shuffled,1000,1,1,1249509.0,0.4908,0.4844,0.169,0.1998,0.17,,,,58.2,0,8,0.2,1.0,False,False,26.0,,64
s2_count_M1_core_shuffled_N1000_m2_sh2_74212964b0,2,count,M1,core,shuffled,1000,2,2,1249509.0,0.4824,0.4824,0.1772,0.1994,0.1732,,,,80.2,0,8,0.2,1.0,False,False,38.0,,64
s2_count_M1_core_shuffled_N100_m0_sh0_5513d4f064,2,count,M1,core,shuffled,100,0,0,1249509.0,0.4696,0.4694,0.1706,0.1232,0.1558,,,,42.5,0,8,0.2,1.0,False,False,53.0,,64
s2_count_M1_core_shuffled_N100_m1_sh1_33b9efa425,2,count,M1,core,shuffled,100,1,1,1249509.0,0.2,0.2,0.2,0.2,0.2,,,,18.9,0,8,0.2,1.0,False,False,16.0,,64
s2_count_M1_core_shuffled_N100_m2_sh2_378dbcd5b8,2,count,M1,core,shuffled,100,2,2,1249509.0,0.4664,0.4742,0.1682,0.1914,0.1512,,,,39.4,0,8,0.2,1.0,False,False,56.0,,64
s2_count_M1_core_shuffled_N20000_m0_sh0_22058eb561,2,count,M1,core,shuffled,20000,0,0,1249509.0,0.6588,0.658,0.4038,0.4136,0.3592,,,,1695.0,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d,2,count,M1,core,shuffled,20000,1,1,1249509.0,0.6668,0.661,0.4044,0.429,0.3652,,,,1717.5,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_shuffled_N20000_m2_sh2_971d2f71d8,2,count,M1,core,shuffled,20000,2,2,1249509.0,0.6632,0.665,0.4062,0.4074,0.3714,,,,1716.5,0,8,0.2,1.0,False,False,60.0,,64
s2_count_M1_core_shuffled_N5000_m0_sh0_288aaa6fd5,2,count,M1,core,shuffled,5000,0,0,1249509.0,0.5216,0.5148,0.2092,0.2452,0.176,,,,394.8,0,8,0.2,1.0,False,False,50.0,,64
s2_count_M1_core_shuffled_N5000_m1_sh1_3477931500,2,count,M1,core,shuffled,5000,1,1,1249509.0,0.5136,0.5084,0.2,0.1636,0.1588,,,,226.6,0,8,0.2,1.0,False,False,27.0,,64
s2_count_M1_core_shuffled_N5000_m2_sh2_ec99b0c174,2,count,M1,core,shuffled,5000,2,2,1249509.0,0.5188,0.5134,0.1948,0.1704,0.1584,,,,359.6,0,8,0.2,1.0,False,False,42.0,,64
s2_count_M1_core_shuffled_N500_m0_sh0_155a89c924,2,count,M1,core,shuffled,500,0,0,1249509.0,0.4884,0.4766,0.1714,0.2,0.18,,,,69.6,0,8,0.2,1.0,False,False,45.0,,64
s2_count_M1_core_shuffled_N500_m1_sh1_1e4cbe0e8e,2,count,M1,core,shuffled,500,1,1,1249509.0,0.4836,0.4784,0.1706,0.2,0.1698,,,,52.0,0,8,0.2,1.0,False,False,38.0,,64
s2_count_M1_core_shuffled_N500_m2_sh2_ce2b02264d,2,count,M1,core,shuffled,500,2,2,1249509.0,0.4848,0.484,0.1764,0.2,0.1742,,,,60.0,0,8,0.2,1.0,False,False,42.0,,64
